inflected form,base form,number,gender,group,case,concat form
суперквартирами,суперквартира,2,f,inanim,I,суперквартира2I
суперквартирах,суперквартира,2,f,inanim,L,суперквартира2L
суперквартири,суперквартира,2,f,inanim,V,суперквартира2V
пузан,пузан,1,m,anim,N,пузан1N
пузана,пузан,1,m,anim,G,пузан1G
пузанові,пузан,1,m,anim,D,пузан1D
пузану,пузан,1,m,anim,D,пузан1D
пузана,пузан,1,m,anim,A,пузан1A
пузаном,пузан,1,m,anim,I,пузан1I
пузані,пузан,1,m,anim,L,пузан1L
пузанові,пузан,1,m,anim,L,пузан1L
пузану,пузан,1,m,anim,L,пузан1L
пузане,пузан,1,m,anim,V,пузан1V
пузани,пузан,2,m,anim,N,пузан2N
пузанів,пузан,2,m,anim,G,пузан2G
пузанам,пузан,2,m,anim,D,пузан2D
пузанів,пузан,2,m,anim,A,пузан2A
пузани,пузан,2,m,anim,A,пузан2A
пузанами,пузан,2,m,anim,I,пузан2I
пузанах,пузан,2,m,anim,L,пузан2L
пузани,пузан,2,m,anim,V,пузан2V
олівоміцин,олівоміцин,1,m,inanim,N,олівоміцин1N
олівоміцину,олівоміцин,1,m,inanim,G,олівоміцин1G
олівоміцинові,олівоміцин,1,m,inanim,D,олівоміцин1D
олівоміцину,олівоміцин,1,m,inanim,D,олівоміцин1D
олівоміцин,олівоміцин,1,m,inanim,A,олівоміцин1A
олівоміцином,олівоміцин,1,m,inanim,I,олівоміцин1I
олівоміцині,олівоміцин,1,m,inanim,L,олівоміцин1L
олівоміцинові,олівоміцин,1,m,inanim,L,олівоміцин1L
олівоміцину,олівоміцин,1,m,inanim,L,олівоміцин1L
олівоміцине,олівоміцин,1,m,inanim,V,олівоміцин1V
жирафчик,жирафчик,1,m,anim,N,жирафчик1N
жирафчика,жирафчик,1,m,anim,G,жирафчик1G
жирафчикові,жирафчик,1,m,anim,D,жирафчик1D
жирафчику,жирафчик,1,m,anim,D,жирафчик1D
жирафчика,жирафчик,1,m,anim,A,жирафчик1A
жирафчиком,жирафчик,1,m,anim,I,жирафчик1I
жирафчикові,жирафчик,1,m,anim,L,жирафчик1L
жирафчику,жирафчик,1,m,anim,L,жирафчик1L
жирафчику,жирафчик,1,m,anim,V,жирафчик1V
жирафчики,жирафчик,2,m,anim,N,жирафчик2N
жирафчиків,жирафчик,2,m,anim,G,жирафчик2G
жирафчикам,жирафчик,2,m,anim,D,жирафчик2D
жирафчики,жирафчик,2,m,anim,A,жирафчик2A
жирафчиків,жирафчик,2,m,anim,A,жирафчик2A
жирафчиками,жирафчик,2,m,anim,I,жирафчик2I
жирафчиках,жирафчик,2,m,anim,L,жирафчик2L
жирафчики,жирафчик,2,m,anim,V,жирафчик2V
звоження,звоження,1,n,inanim,N,звоження1N
звоження,звоження,1,n,inanim,G,звоження1G
звоженню,звоження,1,n,inanim,D,звоження1D
звоження,звоження,1,n,inanim,A,звоження1A
звоженням,звоження,1,n,inanim,I,звоження1I
звоженні,звоження,1,n,inanim,L,звоження1L
звоженню,звоження,1,n,inanim,L,звоження1L
звоження,звоження,1,n,inanim,V,звоження1V
паненятко,паненятко,1,n,anim,N,паненятко1N
паненятка,паненятко,1,n,anim,G,паненятко1G
паненяткові,паненятко,1,n,anim,D,паненятко1D
паненятку,паненятко,1,n,anim,D,паненятко1D
паненятко,паненятко,1,n,anim,A,паненятко1A
паненятком,паненятко,1,n,anim,I,паненятко1I
паненяткові,паненятко,1,n,anim,L,паненятко1L
паненятку,паненятко,1,n,anim,L,паненятко1L
паненятко,паненятко,1,n,anim,V,паненятко1V
паненятка,паненятко,2,n,anim,N,паненятко2N
паненяток,паненятко,2,n,anim,G,паненятко2G
паненяткам,паненятко,2,n,anim,D,паненятко2D
паненяток,паненятко,2,n,anim,A,паненятко2A
паненятка,паненятко,2,n,anim,A,паненятко2A
паненятками,паненятко,2,n,anim,I,паненятко2I
паненятках,паненятко,2,n,anim,L,паненятко2L
паненятка,паненятко,2,n,anim,V,паненятко2V
остріха,остріха,1,f,inanim,N,остріха1N
остріхи,остріха,1,f,inanim,G,остріха1G
острісі,остріха,1,f,inanim,D,остріха1D
остріху,остріха,1,f,inanim,A,остріха1A
остріхою,остріха,1,f,inanim,I,остріха1I
острісі,остріха,1,f,inanim,L,остріха1L
остріхо,остріха,1,f,inanim,V,остріха1V
шопка,шопка,1,f,inanim,N,шопка1N
шопки,шопка,1,f,inanim,G,шопка1G
шопці,шопка,1,f,inanim,D,шопка1D
шопку,шопка,1,f,inanim,A,шопка1A
шопкою,шопка,1,f,inanim,I,шопка1I
шопці,шопка,1,f,inanim,L,шопка1L
шопко,шопка,1,f,inanim,V,шопка1V
шопки,шопка,2,f,inanim,N,шопка2N
шопок,шопка,2,f,inanim,G,шопка2G
шопкам,шопка,2,f,inanim,D,шопка2D
шопки,шопка,2,f,inanim,A,шопка2A
шопками,шопка,2,f,inanim,I,шопка2I
шопках,шопка,2,f,inanim,L,шопка2L
шопки,шопка,2,f,inanim,V,шопка2V
холодноярець,холодноярець,1,m,anim,N,холодноярець1N
холодноярця,холодноярець,1,m,anim,G,холодноярець1G
холодноярцеві,холодноярець,1,m,anim,D,холодноярець1D
холодноярцю,холодноярець,1,m,anim,D,холодноярець1D
холодноярця,холодноярець,1,m,anim,A,холодноярець1A
холодноярцем,холодноярець,1,m,anim,I,холодноярець1I
холодноярцеві,холодноярець,1,m,anim,L,холодноярець1L
холодноярці,холодноярець,1,m,anim,L,холодноярець1L
холодноярцю,холодноярець,1,m,anim,L,холодноярець1L
холодноярцю,холодноярець,1,m,anim,V,холодноярець1V
холодноярці,холодноярець,2,m,anim,N,холодноярець2N
холодноярців,холодноярець,2,m,anim,G,холодноярець2G
холодноярцям,холодноярець,2,m,anim,D,холодноярець2D
холодноярців,холодноярець,2,m,anim,A,холодноярець2A
холодноярці,холодноярець,2,m,anim,A,холодноярець2A
холодноярцями,холодноярець,2,m,anim,I,холодноярець2I
холодноярцях,холодноярець,2,m,anim,L,холодноярець2L
холодноярці,холодноярець,2,m,anim,V,холодноярець2V
піджак,піджак,1,m,inanim,N,піджак1N
піджака,піджак,1,m,inanim,G,піджак1G
піджакові,піджак,1,m,inanim,D,піджак1D
піджаку,піджак,1,m,inanim,D,піджак1D
піджак,піджак,1,m,inanim,A,піджак1A
піджака,піджак,1,m,inanim,A,піджак1A
піджаком,піджак,1,m,inanim,I,піджак1I
піджакові,піджак,1,m,inanim,L,піджак1L
піджаку,піджак,1,m,inanim,L,піджак1L
піджаці,піджак,1,m,inanim,L,піджак1L
піджаку,піджак,1,m,inanim,V,піджак1V
піджаки,піджак,2,m,inanim,N,піджак2N
піджаків,піджак,2,m,inanim,G,піджак2G
піджакам,піджак,2,m,inanim,D,піджак2D
піджаки,піджак,2,m,inanim,A,піджак2A
піджаками,піджак,2,m,inanim,I,піджак2I
піджаках,піджак,2,m,inanim,L,піджак2L
піджаки,піджак,2,m,inanim,V,піджак2V
антипсихотик,антипсихотик,1,m,inanim,N,антипсихотик1N
антипсихотику,антипсихотик,1,m,inanim,G,антипсихотик1G
антипсихотикові,антипсихотик,1,m,inanim,D,антипсихотик1D
антипсихотику,антипсихотик,1,m,inanim,D,антипсихотик1D
антипсихотик,антипсихотик,1,m,inanim,A,антипсихотик1A
антипсихотиком,антипсихотик,1,m,inanim,I,антипсихотик1I
антипсихотикові,антипсихотик,1,m,inanim,L,антипсихотик1L
антипсихотику,антипсихотик,1,m,inanim,L,антипсихотик1L
антипсихотику,антипсихотик,1,m,inanim,V,антипсихотик1V
антипсихотики,антипсихотик,2,m,inanim,N,антипсихотик2N
антипсихотиків,антипсихотик,2,m,inanim,G,антипсихотик2G
антипсихотикам,антипсихотик,2,m,inanim,D,антипсихотик2D
антипсихотики,антипсихотик,2,m,inanim,A,антипсихотик2A
антипсихотиками,антипсихотик,2,m,inanim,I,антипсихотик2I
антипсихотиках,антипсихотик,2,m,inanim,L,антипсихотик2L
антипсихотики,антипсихотик,2,m,inanim,V,антипсихотик2V
торакс,торакс,1,m,inanim,N,торакс1N
тораксу,торакс,1,m,inanim,G,торакс1G
тораксові,торакс,1,m,inanim,D,торакс1D
тораксу,торакс,1,m,inanim,D,торакс1D
торакс,торакс,1,m,inanim,A,торакс1A
тораксом,торакс,1,m,inanim,I,торакс1I
тораксі,торакс,1,m,inanim,L,торакс1L
тораксові,торакс,1,m,inanim,L,торакс1L
тораксу,торакс,1,m,inanim,L,торакс1L
тораксе,торакс,1,m,inanim,V,торакс1V
торакси,торакс,2,m,inanim,N,торакс2N
тораксів,торакс,2,m,inanim,G,торакс2G
тораксам,торакс,2,m,inanim,D,торакс2D
торакси,торакс,2,m,inanim,A,торакс2A
тораксами,торакс,2,m,inanim,I,торакс2I
тораксах,торакс,2,m,inanim,L,торакс2L
торакси,торакс,2,m,inanim,V,торакс2V
прихід,прихід,1,m,inanim,N,прихід1N
приходу,прихід,1,m,inanim,G,прихід1G
приходові,прихід,1,m,inanim,D,прихід1D
приходу,прихід,1,m,inanim,D,прихід1D
прихід,прихід,1,m,inanim,A,прихід1A
приходом,прихід,1,m,inanim,I,прихід1I
приході,прихід,1,m,inanim,L,прихід1L
приходові,прихід,1,m,inanim,L,прихід1L
приходу,прихід,1,m,inanim,L,прихід1L
приходе,прихід,1,m,inanim,V,прихід1V
приходи,прихід,2,m,inanim,N,прихід2N
приходів,прихід,2,m,inanim,G,прихід2G
приходам,прихід,2,m,inanim,D,прихід2D
приходи,прихід,2,m,inanim,A,прихід2A
приходами,прихід,2,m,inanim,I,прихід2I
приходах,прихід,2,m,inanim,L,прихід2L
приходи,прихід,2,m,inanim,V,прихід2V
електроаналіз,електроаналіз,1,m,inanim,N,електроаналіз1N
електроаналізу,електроаналіз,1,m,inanim,G,електроаналіз1G
електроаналізові,електроаналіз,1,m,inanim,D,електроаналіз1D
електроаналізу,електроаналіз,1,m,inanim,D,електроаналіз1D
електроаналіз,електроаналіз,1,m,inanim,A,електроаналіз1A
електроаналізом,електроаналіз,1,m,inanim,I,електроаналіз1I
електроаналізі,електроаналіз,1,m,inanim,L,електроаналіз1L
електроаналізові,електроаналіз,1,m,inanim,L,електроаналіз1L
електроаналізу,електроаналіз,1,m,inanim,L,електроаналіз1L
електроаналізе,електроаналіз,1,m,inanim,V,електроаналіз1V
електроаналізи,електроаналіз,2,m,inanim,N,електроаналіз2N
електроаналізів,електроаналіз,2,m,inanim,G,електроаналіз2G
електроаналізам,електроаналіз,2,m,inanim,D,електроаналіз2D
електроаналізи,електроаналіз,2,m,inanim,A,електроаналіз2A
електроаналізами,електроаналіз,2,m,inanim,I,електроаналіз2I
електроаналізах,електроаналіз,2,m,inanim,L,електроаналіз2L
електроаналізи,електроаналіз,2,m,inanim,V,електроаналіз2V
фотополотно,фотополотно,1,n,inanim,N,фотополотно1N
фотополотна,фотополотно,1,n,inanim,G,фотополотно1G
фотополотну,фотополотно,1,n,inanim,D,фотополотно1D
фотополотно,фотополотно,1,n,inanim,A,фотополотно1A
фотополотном,фотополотно,1,n,inanim,I,фотополотно1I
фотополотні,фотополотно,1,n,inanim,L,фотополотно1L
фотополотну,фотополотно,1,n,inanim,L,фотополотно1L
фотополотно,фотополотно,1,n,inanim,V,фотополотно1V
фотополотна,фотополотно,2,n,inanim,N,фотополотно2N
фотополотен,фотополотно,2,n,inanim,G,фотополотно2G
фотополотнам,фотополотно,2,n,inanim,D,фотополотно2D
фотополотна,фотополотно,2,n,inanim,A,фотополотно2A
фотополотнами,фотополотно,2,n,inanim,I,фотополотно2I
фотополотнах,фотополотно,2,n,inanim,L,фотополотно2L
фотополотна,фотополотно,2,n,inanim,V,фотополотно2V
настоятельство,настоятельство,1,n,inanim,N,настоятельство1N
настоятельства,настоятельство,1,n,inanim,G,настоятельство1G
настоятельству,настоятельство,1,n,inanim,D,настоятельство1D
настоятельство,настоятельство,1,n,inanim,A,настоятельство1A
настоятельством,настоятельство,1,n,inanim,I,настоятельство1I
настоятельстві,настоятельство,1,n,inanim,L,настоятельство1L
настоятельству,настоятельство,1,n,inanim,L,настоятельство1L
настоятельство,настоятельство,1,n,inanim,V,настоятельство1V
пошкоджуваність,пошкоджуваність,1,f,inanim,N,пошкоджуваність1N
пошкоджуваності,пошкоджуваність,1,f,inanim,G,пошкоджуваність1G
пошкоджуваности,пошкоджуваність,1,f,inanim,G,пошкоджуваність1G
пошкоджуваності,пошкоджуваність,1,f,inanim,D,пошкоджуваність1D
пошкоджуваність,пошкоджуваність,1,f,inanim,A,пошкоджуваність1A
пошкоджуваністю,пошкоджуваність,1,f,inanim,I,пошкоджуваність1I
пошкоджуваності,пошкоджуваність,1,f,inanim,L,пошкоджуваність1L
пошкоджуваносте,пошкоджуваність,1,f,inanim,V,пошкоджуваність1V
тригалометан,тригалометан,1,m,inanim,N,тригалометан1N
тригалометану,тригалометан,1,m,inanim,G,тригалометан1G
тригалометанові,тригалометан,1,m,inanim,D,тригалометан1D
тригалометану,тригалометан,1,m,inanim,D,тригалометан1D
тригалометан,тригалометан,1,m,inanim,A,тригалометан1A
тригалометаном,тригалометан,1,m,inanim,I,тригалометан1I
тригалометані,тригалометан,1,m,inanim,L,тригалометан1L
тригалометанові,тригалометан,1,m,inanim,L,тригалометан1L
тригалометану,тригалометан,1,m,inanim,L,тригалометан1L
тригалометане,тригалометан,1,m,inanim,V,тригалометан1V
тригалометани,тригалометан,2,m,inanim,N,тригалометан2N
тригалометанів,тригалометан,2,m,inanim,G,тригалометан2G
тригалометанам,тригалометан,2,m,inanim,D,тригалометан2D
тригалометани,тригалометан,2,m,inanim,A,тригалометан2A
тригалометанами,тригалометан,2,m,inanim,I,тригалометан2I
тригалометанах,тригалометан,2,m,inanim,L,тригалометан2L
тригалометани,тригалометан,2,m,inanim,V,тригалометан2V
піоглітазон,піоглітазон,1,m,inanim,N,піоглітазон1N
піоглітазону,піоглітазон,1,m,inanim,G,піоглітазон1G
піоглітазонові,піоглітазон,1,m,inanim,D,піоглітазон1D
піоглітазону,піоглітазон,1,m,inanim,D,піоглітазон1D
піоглітазон,піоглітазон,1,m,inanim,A,піоглітазон1A
піоглітазоном,піоглітазон,1,m,inanim,I,піоглітазон1I
піоглітазоні,піоглітазон,1,m,inanim,L,піоглітазон1L
піоглітазонові,піоглітазон,1,m,inanim,L,піоглітазон1L
піоглітазону,піоглітазон,1,m,inanim,L,піоглітазон1L
піоглітазоне,піоглітазон,1,m,inanim,V,піоглітазон1V
формувач,формувач,1,m,inanim,N,формувач1N
формувача,формувач,1,m,inanim,G,формувач1G
формувачеві,формувач,1,m,inanim,D,формувач1D
формувачу,формувач,1,m,inanim,D,формувач1D
формувач,формувач,1,m,inanim,A,формувач1A
формувачем,формувач,1,m,inanim,I,формувач1I
формувачеві,формувач,1,m,inanim,L,формувач1L
формувачі,формувач,1,m,inanim,L,формувач1L
формувачу,формувач,1,m,inanim,L,формувач1L
формувачу,формувач,1,m,inanim,V,формувач1V
формувачі,формувач,2,m,inanim,N,формувач2N
формувачів,формувач,2,m,inanim,G,формувач2G
формувачам,формувач,2,m,inanim,D,формувач2D
формувачі,формувач,2,m,inanim,A,формувач2A
формувачами,формувач,2,m,inanim,I,формувач2I
формувачах,формувач,2,m,inanim,L,формувач2L
формувачі,формувач,2,m,inanim,V,формувач2V
курбан-байрам,курбан-байрам,1,m,inanim,N,курбан-байрам1N
курбан-байраму,курбан-байрам,1,m,inanim,G,курбан-байрам1G
курбан-байрамові,курбан-байрам,1,m,inanim,D,курбан-байрам1D
курбан-байраму,курбан-байрам,1,m,inanim,D,курбан-байрам1D
курбан-байрам,курбан-байрам,1,m,inanim,A,курбан-байрам1A
курбан-байрамом,курбан-байрам,1,m,inanim,I,курбан-байрам1I
курбан-байрамі,курбан-байрам,1,m,inanim,L,курбан-байрам1L
курбан-байрамові,курбан-байрам,1,m,inanim,L,курбан-байрам1L
курбан-байраму,курбан-байрам,1,m,inanim,L,курбан-байрам1L
курбан-байраме,курбан-байрам,1,m,inanim,V,курбан-байрам1V
курбан-байрами,курбан-байрам,2,m,inanim,N,курбан-байрам2N
курбан-байрамів,курбан-байрам,2,m,inanim,G,курбан-байрам2G
курбан-байрамам,курбан-байрам,2,m,inanim,D,курбан-байрам2D
курбан-байрами,курбан-байрам,2,m,inanim,A,курбан-байрам2A
курбан-байрамами,курбан-байрам,2,m,inanim,I,курбан-байрам2I
курбан-байрамах,курбан-байрам,2,m,inanim,L,курбан-байрам2L
курбан-байрами,курбан-байрам,2,m,inanim,V,курбан-байрам2V
татарча,татарча,1,n,anim,N,татарча1N
татарчати,татарча,1,n,anim,G,татарча1G
татарчаті,татарча,1,n,anim,D,татарча1D
татарча,татарча,1,n,anim,A,татарча1A
татарчам,татарча,1,n,anim,I,татарча1I
татарчаті,татарча,1,n,anim,L,татарча1L
татарча,татарча,1,n,anim,V,татарча1V
татарчата,татарча,2,n,anim,N,татарча2N
татарчат,татарча,2,n,anim,G,татарча2G
татарчатам,татарча,2,n,anim,D,татарча2D
татарчат,татарча,2,n,anim,A,татарча2A
татарчата,татарча,2,n,anim,A,татарча2A
татарчатами,татарча,2,n,anim,I,татарча2I
татарчатах,татарча,2,n,anim,L,татарча2L
татарчата,татарча,2,n,anim,V,татарча2V
инакодумець,инакодумець,1,m,anim,N,инакодумець1N
инакодумця,инакодумець,1,m,anim,G,инакодумець1G
инакодумцеві,инакодумець,1,m,anim,D,инакодумець1D
инакодумцю,инакодумець,1,m,anim,D,инакодумець1D
инакодумця,инакодумець,1,m,anim,A,инакодумець1A
инакодумцем,инакодумець,1,m,anim,I,инакодумець1I
инакодумцеві,инакодумець,1,m,anim,L,инакодумець1L
инакодумці,инакодумець,1,m,anim,L,инакодумець1L
инакодумцю,инакодумець,1,m,anim,L,инакодумець1L
инакодумцю,инакодумець,1,m,anim,V,инакодумець1V
инакодумці,инакодумець,2,m,anim,N,инакодумець2N
инакодумців,инакодумець,2,m,anim,G,инакодумець2G
инакодумцям,инакодумець,2,m,anim,D,инакодумець2D
инакодумців,инакодумець,2,m,anim,A,инакодумець2A
инакодумці,инакодумець,2,m,anim,A,инакодумець2A
инакодумцями,инакодумець,2,m,anim,I,инакодумець2I
инакодумцях,инакодумець,2,m,anim,L,инакодумець2L
инакодумці,инакодумець,2,m,anim,V,инакодумець2V
кислотомір,кислотомір,1,m,inanim,N,кислотомір1N
кислотоміра,кислотомір,1,m,inanim,G,кислотомір1G
кислотомірові,кислотомір,1,m,inanim,D,кислотомір1D
кислотоміру,кислотомір,1,m,inanim,D,кислотомір1D
кислотомір,кислотомір,1,m,inanim,A,кислотомір1A
кислотоміром,кислотомір,1,m,inanim,I,кислотомір1I
кислотомірі,кислотомір,1,m,inanim,L,кислотомір1L
кислотомірові,кислотомір,1,m,inanim,L,кислотомір1L
кислотоміру,кислотомір,1,m,inanim,L,кислотомір1L
кислотоміре,кислотомір,1,m,inanim,V,кислотомір1V
кислотоміри,кислотомір,2,m,inanim,N,кислотомір2N
кислотомірів,кислотомір,2,m,inanim,G,кислотомір2G
кислотомірам,кислотомір,2,m,inanim,D,кислотомір2D
кислотоміри,кислотомір,2,m,inanim,A,кислотомір2A
кислотомірами,кислотомір,2,m,inanim,I,кислотомір2I
кислотомірах,кислотомір,2,m,inanim,L,кислотомір2L
кислотоміри,кислотомір,2,m,inanim,V,кислотомір2V
переборщення,переборщення,1,n,inanim,N,переборщення1N
переборщення,переборщення,1,n,inanim,G,переборщення1G
переборщенню,переборщення,1,n,inanim,D,переборщення1D
переборщення,переборщення,1,n,inanim,A,переборщення1A
переборщенням,переборщення,1,n,inanim,I,переборщення1I
переборщенні,переборщення,1,n,inanim,L,переборщення1L
переборщенню,переборщення,1,n,inanim,L,переборщення1L
переборщення,переборщення,1,n,inanim,V,переборщення1V
прокопчування,прокопчування,1,n,inanim,N,прокопчування1N
прокопчування,прокопчування,1,n,inanim,G,прокопчування1G
прокопчуванню,прокопчування,1,n,inanim,D,прокопчування1D
прокопчування,прокопчування,1,n,inanim,A,прокопчування1A
прокопчуванням,прокопчування,1,n,inanim,I,прокопчування1I
прокопчуванні,прокопчування,1,n,inanim,L,прокопчування1L
прокопчуванню,прокопчування,1,n,inanim,L,прокопчування1L
прокопчування,прокопчування,1,n,inanim,V,прокопчування1V
резистограф,резистограф,1,m,inanim,N,резистограф1N
резистографа,резистограф,1,m,inanim,G,резистограф1G
резистографові,резистограф,1,m,inanim,D,резистограф1D
резистографу,резистограф,1,m,inanim,D,резистограф1D
резистограф,резистограф,1,m,inanim,A,резистограф1A
резистографом,резистограф,1,m,inanim,I,резистограф1I
резистографі,резистограф,1,m,inanim,L,резистограф1L
резистографові,резистограф,1,m,inanim,L,резистограф1L
резистографу,резистограф,1,m,inanim,L,резистограф1L
резистографе,резистограф,1,m,inanim,V,резистограф1V
резистографи,резистограф,2,m,inanim,N,резистограф2N
резистографів,резистограф,2,m,inanim,G,резистограф2G
резистографам,резистограф,2,m,inanim,D,резистограф2D
резистографи,резистограф,2,m,inanim,A,резистограф2A
резистографами,резистограф,2,m,inanim,I,резистограф2I
резистографах,резистограф,2,m,inanim,L,резистограф2L
резистографи,резистограф,2,m,inanim,V,резистограф2V
дорослість,дорослість,1,f,inanim,N,дорослість1N
дорослості,дорослість,1,f,inanim,G,дорослість1G
дорослости,дорослість,1,f,inanim,G,дорослість1G
дорослості,дорослість,1,f,inanim,D,дорослість1D
дорослість,дорослість,1,f,inanim,A,дорослість1A
дорослістю,дорослість,1,f,inanim,I,дорослість1I
дорослості,дорослість,1,f,inanim,L,дорослість1L
дорослосте,дорослість,1,f,inanim,V,дорослість1V
дорослості,дорослість,2,f,inanim,N,дорослість2N
дорослостей,дорослість,2,f,inanim,G,дорослість2G
дорослостям,дорослість,2,f,inanim,D,дорослість2D
дорослості,дорослість,2,f,inanim,A,дорослість2A
дорослостями,дорослість,2,f,inanim,I,дорослість2I
дорослостях,дорослість,2,f,inanim,L,дорослість2L
дорослості,дорослість,2,f,inanim,V,дорослість2V
вмочування,вмочування,1,n,inanim,N,вмочування1N
вмочування,вмочування,1,n,inanim,G,вмочування1G
вмочуванню,вмочування,1,n,inanim,D,вмочування1D
вмочування,вмочування,1,n,inanim,A,вмочування1A
вмочуванням,вмочування,1,n,inanim,I,вмочування1I
вмочуванні,вмочування,1,n,inanim,L,вмочування1L
вмочуванню,вмочування,1,n,inanim,L,вмочування1L
вмочування,вмочування,1,n,inanim,V,вмочування1V
прехороший,прехороший,1,m,anim,N,прехороший1N
прехорошого,прехороший,1,m,anim,G,прехороший1G
прехорошому,прехороший,1,m,anim,D,прехороший1D
прехорошого,прехороший,1,m,anim,A,прехороший1A
прехорошим,прехороший,1,m,anim,I,прехороший1I
прехорошім,прехороший,1,m,anim,L,прехороший1L
прехорошому,прехороший,1,m,anim,L,прехороший1L
прехороший,прехороший,1,m,anim,V,прехороший1V
прехороша,прехороший,1,f,anim,N,прехороший1N
прехорошої,прехороший,1,f,anim,G,прехороший1G
прехорошій,прехороший,1,f,anim,D,прехороший1D
прехорошу,прехороший,1,f,anim,A,прехороший1A
прехорошою,прехороший,1,f,anim,I,прехороший1I
прехорошій,прехороший,1,f,anim,L,прехороший1L
прехороша,прехороший,1,f,anim,V,прехороший1V
вугор,вугор,1,m,anim,N,вугор1N
вугра,вугор,1,m,anim,G,вугор1G
вугрові,вугор,1,m,anim,D,вугор1D
вугру,вугор,1,m,anim,D,вугор1D
вугра,вугор,1,m,anim,A,вугор1A
вугром,вугор,1,m,anim,I,вугор1I
вугрі,вугор,1,m,anim,L,вугор1L
вугрові,вугор,1,m,anim,L,вугор1L
вугру,вугор,1,m,anim,L,вугор1L
вугре,вугор,1,m,anim,V,вугор1V
вугри,вугор,2,m,anim,N,вугор2N
вугрів,вугор,2,m,anim,G,вугор2G
