inflected form,base form,number,gender,group,case,concat form
завдання,завдання,2,n,inanim,N,завдання2N
завдань,завдання,2,n,inanim,G,завдання2G
завданням,завдання,2,n,inanim,D,завдання2D
завдання,завдання,2,n,inanim,A,завдання2A
завданнями,завдання,2,n,inanim,I,завдання2I
завданнях,завдання,2,n,inanim,L,завдання2L
завдання,завдання,2,n,inanim,V,завдання2V
мінсільгосп,мінсільгосп,1,m,inanim,N,мінсільгосп1N
мінсільгоспу,мінсільгосп,1,m,inanim,G,мінсільгосп1G
мінсільгоспові,мінсільгосп,1,m,inanim,D,мінсільгосп1D
мінсільгоспу,мінсільгосп,1,m,inanim,D,мінсільгосп1D
мінсільгосп,мінсільгосп,1,m,inanim,A,мінсільгосп1A
мінсільгоспом,мінсільгосп,1,m,inanim,I,мінсільгосп1I
мінсільгоспі,мінсільгосп,1,m,inanim,L,мінсільгосп1L
мінсільгоспові,мінсільгосп,1,m,inanim,L,мінсільгосп1L
мінсільгоспу,мінсільгосп,1,m,inanim,L,мінсільгосп1L
мінсільгоспе,мінсільгосп,1,m,inanim,V,мінсільгосп1V
арідник,арідник,1,m,anim,N,арідник1N
арідника,арідник,1,m,anim,G,арідник1G
арідникові,арідник,1,m,anim,D,арідник1D
аріднику,арідник,1,m,anim,D,арідник1D
арідника,арідник,1,m,anim,A,арідник1A
арідником,арідник,1,m,anim,I,арідник1I
арідникові,арідник,1,m,anim,L,арідник1L
аріднику,арідник,1,m,anim,L,арідник1L
арідниче,арідник,1,m,anim,V,арідник1V
арідники,арідник,2,m,anim,N,арідник2N
арідників,арідник,2,m,anim,G,арідник2G
арідникам,арідник,2,m,anim,D,арідник2D
арідників,арідник,2,m,anim,A,арідник2A
арідники,арідник,2,m,anim,A,арідник2A
арідниками,арідник,2,m,anim,I,арідник2I
арідниках,арідник,2,m,anim,L,арідник2L
арідники,арідник,2,m,anim,V,арідник2V
білянка,білянка,1,f,anim,N,білянка1N
білянки,білянка,1,f,anim,G,білянка1G
білянці,білянка,1,f,anim,D,білянка1D
білянку,білянка,1,f,anim,A,білянка1A
білянкою,білянка,1,f,anim,I,білянка1I
білянці,білянка,1,f,anim,L,білянка1L
білянко,білянка,1,f,anim,V,білянка1V
білянки,білянка,2,f,anim,N,білянка2N
білянок,білянка,2,f,anim,G,білянка2G
білянкам,білянка,2,f,anim,D,білянка2D
білянок,білянка,2,f,anim,A,білянка2A
білянки,білянка,2,f,anim,A,білянка2A
білянками,білянка,2,f,anim,I,білянка2I
білянках,білянка,2,f,anim,L,білянка2L
білянки,білянка,2,f,anim,V,білянка2V
непоновлення,непоновлення,1,n,inanim,N,непоновлення1N
непоновлення,непоновлення,1,n,inanim,G,непоновлення1G
непоновленню,непоновлення,1,n,inanim,D,непоновлення1D
непоновлення,непоновлення,1,n,inanim,A,непоновлення1A
непоновленням,непоновлення,1,n,inanim,I,непоновлення1I
непоновленні,непоновлення,1,n,inanim,L,непоновлення1L
непоновленню,непоновлення,1,n,inanim,L,непоновлення1L
непоновлення,непоновлення,1,n,inanim,V,непоновлення1V
невігласка,невігласка,1,f,anim,N,невігласка1N
невігласки,невігласка,1,f,anim,G,невігласка1G
невігласці,невігласка,1,f,anim,D,невігласка1D
невігласку,невігласка,1,f,anim,A,невігласка1A
невігласкою,невігласка,1,f,anim,I,невігласка1I
невігласці,невігласка,1,f,anim,L,невігласка1L
невігласко,невігласка,1,f,anim,V,невігласка1V
невігласки,невігласка,2,f,anim,N,невігласка2N
невігласок,невігласка,2,f,anim,G,невігласка2G
невігласкам,невігласка,2,f,anim,D,невігласка2D
невігласок,невігласка,2,f,anim,A,невігласка2A
невігласки,невігласка,2,f,anim,A,невігласка2A
невігласками,невігласка,2,f,anim,I,невігласка2I
невігласках,невігласка,2,f,anim,L,невігласка2L
невігласки,невігласка,2,f,anim,V,невігласка2V
гетерогенез,гетерогенез,1,m,inanim,N,гетерогенез1N
гетерогенезу,гетерогенез,1,m,inanim,G,гетерогенез1G
гетерогенезові,гетерогенез,1,m,inanim,D,гетерогенез1D
гетерогенезу,гетерогенез,1,m,inanim,D,гетерогенез1D
гетерогенез,гетерогенез,1,m,inanim,A,гетерогенез1A
гетерогенезом,гетерогенез,1,m,inanim,I,гетерогенез1I
гетерогенезі,гетерогенез,1,m,inanim,L,гетерогенез1L
гетерогенезові,гетерогенез,1,m,inanim,L,гетерогенез1L
гетерогенезу,гетерогенез,1,m,inanim,L,гетерогенез1L
гетерогенезе,гетерогенез,1,m,inanim,V,гетерогенез1V
гетерогенези,гетерогенез,2,m,inanim,N,гетерогенез2N
гетерогенезів,гетерогенез,2,m,inanim,G,гетерогенез2G
гетерогенезам,гетерогенез,2,m,inanim,D,гетерогенез2D
гетерогенези,гетерогенез,2,m,inanim,A,гетерогенез2A
гетерогенезами,гетерогенез,2,m,inanim,I,гетерогенез2I
гетерогенезах,гетерогенез,2,m,inanim,L,гетерогенез2L
гетерогенези,гетерогенез,2,m,inanim,V,гетерогенез2V
викручування,викручування,1,n,inanim,N,викручування1N
викручування,викручування,1,n,inanim,G,викручування1G
викручуванню,викручування,1,n,inanim,D,викручування1D
викручування,викручування,1,n,inanim,A,викручування1A
викручуванням,викручування,1,n,inanim,I,викручування1I
викручуванні,викручування,1,n,inanim,L,викручування1L
викручуванню,викручування,1,n,inanim,L,викручування1L
викручування,викручування,1,n,inanim,V,викручування1V
викручування,викручування,2,n,inanim,N,викручування2N
викручувань,викручування,2,n,inanim,G,викручування2G
викручуванням,викручування,2,n,inanim,D,викручування2D
викручування,викручування,2,n,inanim,A,викручування2A
викручуваннями,викручування,2,n,inanim,I,викручування2I
викручуваннях,викручування,2,n,inanim,L,викручування2L
викручування,викручування,2,n,inanim,V,викручування2V
явка,явка,1,f,inanim,N,явка1N
явки,явка,1,f,inanim,G,явка1G
явці,явка,1,f,inanim,D,явка1D
явку,явка,1,f,inanim,A,явка1A
явкою,явка,1,f,inanim,I,явка1I
явці,явка,1,f,inanim,L,явка1L
явко,явка,1,f,inanim,V,явка1V
явки,явка,2,f,inanim,N,явка2N
явок,явка,2,f,inanim,G,явка2G
явкам,явка,2,f,inanim,D,явка2D
явки,явка,2,f,inanim,A,явка2A
явками,явка,2,f,inanim,I,явка2I
явках,явка,2,f,inanim,L,явка2L
явки,явка,2,f,inanim,V,явка2V
катодолюмінесценція,катодолюмінесценція,1,f,inanim,N,катодолюмінесценція1N
катодолюмінесценції,катодолюмінесценція,1,f,inanim,G,катодолюмінесценція1G
катодолюмінесценції,катодолюмінесценція,1,f,inanim,D,катодолюмінесценція1D
катодолюмінесценцію,катодолюмінесценція,1,f,inanim,A,катодолюмінесценція1A
катодолюмінесценцією,катодолюмінесценція,1,f,inanim,I,катодолюмінесценція1I
катодолюмінесценції,катодолюмінесценція,1,f,inanim,L,катодолюмінесценція1L
катодолюмінесценціє,катодолюмінесценція,1,f,inanim,V,катодолюмінесценція1V
катодолюмінесценції,катодолюмінесценція,2,f,inanim,N,катодолюмінесценція2N
катодолюмінесценцій,катодолюмінесценція,2,f,inanim,G,катодолюмінесценція2G
катодолюмінесценціям,катодолюмінесценція,2,f,inanim,D,катодолюмінесценція2D
катодолюмінесценції,катодолюмінесценція,2,f,inanim,A,катодолюмінесценція2A
катодолюмінесценціями,катодолюмінесценція,2,f,inanim,I,катодолюмінесценція2I
катодолюмінесценціях,катодолюмінесценція,2,f,inanim,L,катодолюмінесценція2L
катодолюмінесценції,катодолюмінесценція,2,f,inanim,V,катодолюмінесценція2V
асфальтобетонозмішувач,асфальтобетонозмішувач,1,m,inanim,N,асфальтобетонозмішувач1N
асфальтобетонозмішувача,асфальтобетонозмішувач,1,m,inanim,G,асфальтобетонозмішувач1G
асфальтобетонозмішувачеві,асфальтобетонозмішувач,1,m,inanim,D,асфальтобетонозмішувач1D
асфальтобетонозмішувачу,асфальтобетонозмішувач,1,m,inanim,D,асфальтобетонозмішувач1D
асфальтобетонозмішувач,асфальтобетонозмішувач,1,m,inanim,A,асфальтобетонозмішувач1A
асфальтобетонозмішувачем,асфальтобетонозмішувач,1,m,inanim,I,асфальтобетонозмішувач1I
асфальтобетонозмішувачеві,асфальтобетонозмішувач,1,m,inanim,L,асфальтобетонозмішувач1L
асфальтобетонозмішувачі,асфальтобетонозмішувач,1,m,inanim,L,асфальтобетонозмішувач1L
асфальтобетонозмішувачу,асфальтобетонозмішувач,1,m,inanim,L,асфальтобетонозмішувач1L
асфальтобетонозмішувачу,асфальтобетонозмішувач,1,m,inanim,V,асфальтобетонозмішувач1V
асфальтобетонозмішувачі,асфальтобетонозмішувач,2,m,inanim,N,асфальтобетонозмішувач2N
асфальтобетонозмішувачів,асфальтобетонозмішувач,2,m,inanim,G,асфальтобетонозмішувач2G
асфальтобетонозмішувачам,асфальтобетонозмішувач,2,m,inanim,D,асфальтобетонозмішувач2D
асфальтобетонозмішувачі,асфальтобетонозмішувач,2,m,inanim,A,асфальтобетонозмішувач2A
асфальтобетонозмішувачами,асфальтобетонозмішувач,2,m,inanim,I,асфальтобетонозмішувач2I
асфальтобетонозмішувачах,асфальтобетонозмішувач,2,m,inanim,L,асфальтобетонозмішувач2L
асфальтобетонозмішувачі,асфальтобетонозмішувач,2,m,inanim,V,асфальтобетонозмішувач2V
розгрупованість,розгрупованість,1,f,inanim,N,розгрупованість1N
розгрупованості,розгрупованість,1,f,inanim,G,розгрупованість1G
розгрупованости,розгрупованість,1,f,inanim,G,розгрупованість1G
розгрупованості,розгрупованість,1,f,inanim,D,розгрупованість1D
розгрупованість,розгрупованість,1,f,inanim,A,розгрупованість1A
розгрупованістю,розгрупованість,1,f,inanim,I,розгрупованість1I
розгрупованості,розгрупованість,1,f,inanim,L,розгрупованість1L
розгрупованосте,розгрупованість,1,f,inanim,V,розгрупованість1V
стереокінокамера,стереокінокамера,1,f,inanim,N,стереокінокамера1N
стереокінокамери,стереокінокамера,1,f,inanim,G,стереокінокамера1G
стереокінокамері,стереокінокамера,1,f,inanim,D,стереокінокамера1D
стереокінокамеру,стереокінокамера,1,f,inanim,A,стереокінокамера1A
стереокінокамерою,стереокінокамера,1,f,inanim,I,стереокінокамера1I
стереокінокамері,стереокінокамера,1,f,inanim,L,стереокінокамера1L
стереокінокамеро,стереокінокамера,1,f,inanim,V,стереокінокамера1V
стереокінокамери,стереокінокамера,2,f,inanim,N,стереокінокамера2N
стереокінокамер,стереокінокамера,2,f,inanim,G,стереокінокамера2G
стереокінокамерам,стереокінокамера,2,f,inanim,D,стереокінокамера2D
стереокінокамери,стереокінокамера,2,f,inanim,A,стереокінокамера2A
стереокінокамерами,стереокінокамера,2,f,inanim,I,стереокінокамера2I
стереокінокамерах,стереокінокамера,2,f,inanim,L,стереокінокамера2L
стереокінокамери,стереокінокамера,2,f,inanim,V,стереокінокамера2V
прозірливість,прозірливість,1,f,inanim,N,прозірливість1N
прозірливості,прозірливість,1,f,inanim,G,прозірливість1G
прозірливости,прозірливість,1,f,inanim,G,прозірливість1G
прозірливості,прозірливість,1,f,inanim,D,прозірливість1D
прозірливість,прозірливість,1,f,inanim,A,прозірливість1A
прозірливістю,прозірливість,1,f,inanim,I,прозірливість1I
прозірливості,прозірливість,1,f,inanim,L,прозірливість1L
прозірливосте,прозірливість,1,f,inanim,V,прозірливість1V
клятвопорушення,клятвопорушення,1,n,inanim,N,клятвопорушення1N
клятвопорушення,клятвопорушення,1,n,inanim,G,клятвопорушення1G
клятвопорушенню,клятвопорушення,1,n,inanim,D,клятвопорушення1D
клятвопорушення,клятвопорушення,1,n,inanim,A,клятвопорушення1A
клятвопорушенням,клятвопорушення,1,n,inanim,I,клятвопорушення1I
клятвопорушенні,клятвопорушення,1,n,inanim,L,клятвопорушення1L
клятвопорушенню,клятвопорушення,1,n,inanim,L,клятвопорушення1L
клятвопорушення,клятвопорушення,1,n,inanim,V,клятвопорушення1V
клятвопорушення,клятвопорушення,2,n,inanim,N,клятвопорушення2N
клятвопорушень,клятвопорушення,2,n,inanim,G,клятвопорушення2G
клятвопорушенням,клятвопорушення,2,n,inanim,D,клятвопорушення2D
клятвопорушення,клятвопорушення,2,n,inanim,A,клятвопорушення2A
клятвопорушеннями,клятвопорушення,2,n,inanim,I,клятвопорушення2I
клятвопорушеннях,клятвопорушення,2,n,inanim,L,клятвопорушення2L
клятвопорушення,клятвопорушення,2,n,inanim,V,клятвопорушення2V
трина,трина,1,f,inanim,N,трина1N
трини,трина,1,f,inanim,G,трина1G
трині,трина,1,f,inanim,D,трина1D
трину,трина,1,f,inanim,A,трина1A
триною,трина,1,f,inanim,I,трина1I
трині,трина,1,f,inanim,L,трина1L
трино,трина,1,f,inanim,V,трина1V
круподерник,круподерник,1,m,anim,N,круподерник1N
круподерника,круподерник,1,m,anim,G,круподерник1G
круподерникові,круподерник,1,m,anim,D,круподерник1D
круподернику,круподерник,1,m,anim,D,круподерник1D
круподерника,круподерник,1,m,anim,A,круподерник1A
круподерником,круподерник,1,m,anim,I,круподерник1I
круподерникові,круподерник,1,m,anim,L,круподерник1L
круподернику,круподерник,1,m,anim,L,круподерник1L
круподернику,круподерник,1,m,anim,V,круподерник1V
круподерники,круподерник,2,m,anim,N,круподерник2N
круподерників,круподерник,2,m,anim,G,круподерник2G
круподерникам,круподерник,2,m,anim,D,круподерник2D
круподерників,круподерник,2,m,anim,A,круподерник2A
круподерники,круподерник,2,m,anim,A,круподерник2A
круподерниками,круподерник,2,m,anim,I,круподерник2I
круподерниках,круподерник,2,m,anim,L,круподерник2L
круподерники,круподерник,2,m,anim,V,круподерник2V
удобреність,удобреність,1,f,inanim,N,удобреність1N
удобреності,удобреність,1,f,inanim,G,удобреність1G
удобрености,удобреність,1,f,inanim,G,удобреність1G
удобреності,удобреність,1,f,inanim,D,удобреність1D
удобреність,удобреність,1,f,inanim,A,удобреність1A
удобреністю,удобреність,1,f,inanim,I,удобреність1I
удобреності,удобреність,1,f,inanim,L,удобреність1L
удобреносте,удобреність,1,f,inanim,V,удобреність1V
патоморфолог,патоморфолог,1,m,anim,N,патоморфолог1N
патоморфолога,патоморфолог,1,m,anim,G,патоморфолог1G
патоморфологові,патоморфолог,1,m,anim,D,патоморфолог1D
патоморфологу,патоморфолог,1,m,anim,D,патоморфолог1D
патоморфолога,патоморфолог,1,m,anim,A,патоморфолог1A
патоморфологом,патоморфолог,1,m,anim,I,патоморфолог1I
патоморфологові,патоморфолог,1,m,anim,L,патоморфолог1L
патоморфологу,патоморфолог,1,m,anim,L,патоморфолог1L
патоморфологу,патоморфолог,1,m,anim,V,патоморфолог1V
патоморфологи,патоморфолог,2,m,anim,N,патоморфолог2N
патоморфологів,патоморфолог,2,m,anim,G,патоморфолог2G
патоморфологам,патоморфолог,2,m,anim,D,патоморфолог2D
патоморфологів,патоморфолог,2,m,anim,A,патоморфолог2A
патоморфологи,патоморфолог,2,m,anim,A,патоморфолог2A
патоморфологами,патоморфолог,2,m,anim,I,патоморфолог2I
патоморфологах,патоморфолог,2,m,anim,L,патоморфолог2L
патоморфологи,патоморфолог,2,m,anim,V,патоморфолог2V
гратен,гратен,1,m,inanim,N,гратен1N
гратена,гратен,1,m,inanim,G,гратен1G
гратенові,гратен,1,m,inanim,D,гратен1D
гратену,гратен,1,m,inanim,D,гратен1D
гратен,гратен,1,m,inanim,A,гратен1A
гратеном,гратен,1,m,inanim,I,гратен1I
гратені,гратен,1,m,inanim,L,гратен1L
гратенові,гратен,1,m,inanim,L,гратен1L
гратену,гратен,1,m,inanim,L,гратен1L
гратене,гратен,1,m,inanim,V,гратен1V
гратени,гратен,2,m,inanim,N,гратен2N
гратенів,гратен,2,m,inanim,G,гратен2G
гратенам,гратен,2,m,inanim,D,гратен2D
гратени,гратен,2,m,inanim,A,гратен2A
гратенами,гратен,2,m,inanim,I,гратен2I
гратенах,гратен,2,m,inanim,L,гратен2L
гратени,гратен,2,m,inanim,V,гратен2V
підписувач,підписувач,1,m,anim,N,підписувач1N
підписувача,підписувач,1,m,anim,G,підписувач1G
підписувачеві,підписувач,1,m,anim,D,підписувач1D
підписувачу,підписувач,1,m,anim,D,підписувач1D
підписувача,підписувач,1,m,anim,A,підписувач1A
підписувачем,підписувач,1,m,anim,I,підписувач1I
підписувачеві,підписувач,1,m,anim,L,підписувач1L
підписувачі,підписувач,1,m,anim,L,підписувач1L
підписувачу,підписувач,1,m,anim,L,підписувач1L
підписувачу,підписувач,1,m,anim,V,підписувач1V
підписувачі,підписувач,2,m,anim,N,підписувач2N
підписувачів,підписувач,2,m,anim,G,підписувач2G
підписувачам,підписувач,2,m,anim,D,підписувач2D
підписувачів,підписувач,2,m,anim,A,підписувач2A
підписувачі,підписувач,2,m,anim,A,підписувач2A
підписувачами,підписувач,2,m,anim,I,підписувач2I
підписувачах,підписувач,2,m,anim,L,підписувач2L
підписувачі,підписувач,2,m,anim,V,підписувач2V
уболівальник,уболівальник,1,m,anim,N,уболівальник1N
уболівальника,уболівальник,1,m,anim,G,уболівальник1G
уболівальникові,уболівальник,1,m,anim,D,уболівальник1D
уболівальнику,уболівальник,1,m,anim,D,уболівальник1D
уболівальника,уболівальник,1,m,anim,A,уболівальник1A
уболівальником,уболівальник,1,m,anim,I,уболівальник1I
уболівальникові,уболівальник,1,m,anim,L,уболівальник1L
уболівальнику,уболівальник,1,m,anim,L,уболівальник1L
уболівальнику,уболівальник,1,m,anim,V,уболівальник1V
уболівальники,уболівальник,2,m,anim,N,уболівальник2N
уболівальників,уболівальник,2,m,anim,G,уболівальник2G
уболівальникам,уболівальник,2,m,anim,D,уболівальник2D
уболівальників,уболівальник,2,m,anim,A,уболівальник2A
уболівальники,уболівальник,2,m,anim,A,уболівальник2A
уболівальниками,уболівальник,2,m,anim,I,уболівальник2I
уболівальниках,уболівальник,2,m,anim,L,уболівальник2L
уболівальники,уболівальник,2,m,anim,V,уболівальник2V
літературознавчиня,літературознавчиня,1,f,anim,N,літературознавчиня1N
літературознавчині,літературознавчиня,1,f,anim,G,літературознавчиня1G
літературознавчині,літературознавчиня,1,f,anim,D,літературознавчиня1D
літературознавчиню,літературознавчиня,1,f,anim,A,літературознавчиня1A
літературознавчинею,літературознавчиня,1,f,anim,I,літературознавчиня1I
літературознавчині,літературознавчиня,1,f,anim,L,літературознавчиня1L
літературознавчине,літературознавчиня,1,f,anim,V,літературознавчиня1V
літературознавчині,літературознавчиня,2,f,anim,N,літературознавчиня2N
літературознавчинь,літературознавчиня,2,f,anim,G,літературознавчиня2G
літературознавчиням,літературознавчиня,2,f,anim,D,літературознавчиня2D
літературознавчинь,літературознавчиня,2,f,anim,A,літературознавчиня2A
літературознавчині,літературознавчиня,2,f,anim,A,літературознавчиня2A
літературознавчинями,літературознавчиня,2,f,anim,I,літературознавчиня2I
літературознавчинях,літературознавчиня,2,f,anim,L,літературознавчиня2L
літературознавчині,літературознавчиня,2,f,anim,V,літературознавчиня2V
парафазія,парафазія,1,f,inanim,N,парафазія1N
парафазії,парафазія,1,f,inanim,G,парафазія1G
парафазії,парафазія,1,f,inanim,D,парафазія1D
парафазію,парафазія,1,f,inanim,A,парафазія1A
парафазією,парафазія,1,f,inanim,I,парафазія1I
парафазії,парафазія,1,f,inanim,L,парафазія1L
парафазіє,парафазія,1,f,inanim,V,парафазія1V
бабка,бабка,1,f,anim,N,бабка1N
бабки,бабка,1,f,anim,G,бабка1G
бабці,бабка,1,f,anim,D,бабка1D
бабку,бабка,1,f,anim,A,бабка1A
бабкою,бабка,1,f,anim,I,бабка1I
бабці,бабка,1,f,anim,L,бабка1L
бабко,бабка,1,f,anim,V,бабка1V
бабки,бабка,2,f,anim,N,бабка2N
бабок,бабка,2,f,anim,G,бабка2G
бабкам,бабка,2,f,anim,D,бабка2D
бабки,бабка,2,f,anim,A,бабка2A
бабок,бабка,2,f,anim,A,бабка2A
бабками,бабка,2,f,anim,I,бабка2I
бабках,бабка,2,f,anim,L,бабка2L
бабки,бабка,2,f,anim,V,бабка2V
бабка,бабка,1,f,inanim,N,бабка1N
бабки,бабка,1,f,inanim,G,бабка1G
бабці,бабка,1,f,inanim,D,бабка1D
бабку,бабка,1,f,inanim,A,бабка1A
бабкою,бабка,1,f,inanim,I,бабка1I
бабці,бабка,1,f,inanim,L,бабка1L
бабко,бабка,1,f,inanim,V,бабка1V
бабки,бабка,2,f,inanim,N,бабка2N
бабок,бабка,2,f,inanim,G,бабка2G
бабкам,бабка,2,f,inanim,D,бабка2D
бабки,бабка,2,f,inanim,A,бабка2A
бабками,бабка,2,f,inanim,I,бабка2I
бабках,бабка,2,f,inanim,L,бабка2L
бабки,бабка,2,f,inanim,V,бабка2V
затрата,затрата,1,f,inanim,N,затрата1N
затрати,затрата,1,f,inanim,G,затрата1G
затраті,затрата,1,f,inanim,D,затрата1D
затрату,затрата,1,f,inanim,A,затрата1A
затратою,затрата,1,f,inanim,I,затрата1I
затраті,затрата,1,f,inanim,L,затрата1L
затрато,затрата,1,f,inanim,V,затрата1V
затрати,затрата,2,f,inanim,N,затрата2N
затрат,затрата,2,f,inanim,G,затрата2G
затратам,затрата,2,f,inanim,D,затрата2D
затрати,затрата,2,f,inanim,A,затрата2A
затратами,затрата,2,f,inanim,I,затрата2I
затратах,затрата,2,f,inanim,L,затрата2L
затрати,затрата,2,f,inanim,V,затрата2V
фотозірка,фотозірка,1,f,anim,N,фотозірка1N
фотозірки,фотозірка,1,f,anim,G,фотозірка1G
фотозірці,фотозірка,1,f,anim,D,фотозірка1D
фотозірку,фотозірка,1,f,anim,A,фотозірка1A
фотозіркою,фотозірка,1,f,anim,I,фотозірка1I
фотозірці,фотозірка,1,f,anim,L,фотозірка1L
фотозірко,фотозірка,1,f,anim,V,фотозірка1V
фотозірки,фотозірка,2,f,anim,N,фотозірка2N
фотозірок,фотозірка,2,f,anim,G,фотозірка2G
фотозіркам,фотозірка,2,f,anim,D,фотозірка2D
фотозірок,фотозірка,2,f,anim,A,фотозірка2A
фотозірки,фотозірка,2,f,anim,A,фотозірка2A
фотозірками,фотозірка,2,f,anim,I,фотозірка2I
фотозірках,фотозірка,2,f,anim,L,фотозірка2L
фотозірки,фотозірка,2,f,anim,V,фотозірка2V
націдея,націдея,1,f,inanim,N,націдея1N
націдеї,націдея,1,f,inanim,G,націдея1G
націдеї,націдея,1,f,inanim,D,націдея1D
націдею,націдея,1,f,inanim,A,націдея1A
націдеєю,націдея,1,f,inanim,I,націдея1I
націдеї,націдея,1,f,inanim,L,націдея1L
націдеє,націдея,1,f,inanim,V,націдея1V
націдеї,націдея,2,f,inanim,N,націдея2N
націдей,націдея,2,f,inanim,G,націдея2G
націдеям,націдея,2,f,inanim,D,націдея2D
націдеї,націдея,2,f,inanim,A,націдея2A
націдеями,націдея,2,f,inanim,I,націдея2I
націдеях,націдея,2,f,inanim,L,націдея2L
націдеї,націдея,2,f,inanim,V,націдея2V
відкочення,відкочення,1,n,inanim,N,відкочення1N
відкочення,відкочення,1,n,inanim,G,відкочення1G
відкоченню,відкочення,1,n,inanim,D,відкочення1D
відкочення,відкочення,1,n,inanim,A,відкочення1A
відкоченням,відкочення,1,n,inanim,I,відкочення1I
відкоченні,відкочення,1,n,inanim,L,відкочення1L
відкоченню,відкочення,1,n,inanim,L,відкочення1L
відкочення,відкочення,1,n,inanim,V,відкочення1V
півпуда,півпуда,2,n,inanim,N,півпуда2N
півпуда,півпуда,2,n,inanim,G,півпуда2G
півпуда,півпуда,2,n,inanim,D,півпуда2D
півпуда,півпуда,2,n,inanim,A,півпуда2A
півпуда,півпуда,2,n,inanim,I,півпуда2I
півпуда,півпуда,2,n,inanim,L,півпуда2L
півпуда,півпуда,2,n,inanim,V,півпуда2V
перчичниця,перчичниця,1,f,inanim,N,перчичниця1N
перчичниці,перчичниця,1,f,inanim,G,перчичниця1G
перчичниці,перчичниця,1,f,inanim,D,перчичниця1D
перчичницю,перчичниця,1,f,inanim,A,перчичниця1A
перчичницею,перчичниця,1,f,inanim,I,перчичниця1I
перчичниці,перчичниця,1,f,inanim,L,перчичниця1L
перчичнице,перчичниця,1,f,inanim,V,перчичниця1V
перчичниці,перчичниця,2,f,inanim,N,перчичниця2N
перчичниць,перчичниця,2,f,inanim,G,перчичниця2G
перчичницям,перчичниця,2,f,inanim,D,перчичниця2D
перчичниці,перчичниця,2,f,inanim,A,перчичниця2A
перчичницями,перчичниця,2,f,inanim,I,перчичниця2I
перчичницях,перчичниця,2,f,inanim,L,перчичниця2L
перчичниці,перчичниця,2,f,inanim,V,перчичниця2V
проділка,проділка,1,f,inanim,N,проділка1N
проділки,проділка,1,f,inanim,G,проділка1G
проділці,проділка,1,f,inanim,D,проділка1D
проділку,проділка,1,f,inanim,A,проділка1A
проділкою,проділка,1,f,inanim,I,проділка1I
проділці,проділка,1,f,inanim,L,проділка1L
проділко,проділка,1,f,inanim,V,проділка1V
проділки,проділка,2,f,inanim,N,проділка2N
проділок,проділка,2,f,inanim,G,проділка2G
проділкам,проділка,2,f,inanim,D,проділка2D
проділки,проділка,2,f,inanim,A,проділка2A
проділками,проділка,2,f,inanim,I,проділка2I
проділках,проділка,2,f,inanim,L,проділка2L
проділки,проділка,2,f,inanim,V,проділка2V
маз,маз,1,m,inanim,N,маз1N
маза,маз,1,m,inanim,G,маз1G
мазові,маз,1,m,inanim,D,маз1D
мазу,маз,1,m,inanim,D,маз1D
маз,маз,1,m,inanim,A,маз1A
мазом,маз,1,m,inanim,I,маз1I
мазі,маз,1,m,inanim,L,маз1L
мазові,маз,1,m,inanim,L,маз1L
мазу,маз,1,m,inanim,L,маз1L
мазе,маз,1,m,inanim,V,маз1V
мази,маз,2,m,inanim,N,маз2N
